timestamp,bitcoin_usd,ethereum_usd,dogecoin_usd,solana_usd
2025-06-04T09:45:00.979076,105632,2612.83,0.195052,156.62
2025-06-04T09:45:00.979076,105632,2612.83,0.195052,156.62
2025-06-04T09:45:00.979076,105632,2612.83,0.195052,156.62
2025-06-04T09:45:15.813584,105635,2612.79,0.195066,156.65
2025-06-04T09:45:15.813584,105635,2612.79,0.195066,156.65
2025-06-04T09:45:15.813584,105635,2612.79,0.195066,156.65
2025-06-04T09:45:29.238071,105635,2612.79,0.195066,156.65
2025-06-04T09:45:29.238071,105635,2612.79,0.195066,156.65
2025-06-04T09:45:29.238071,105635,2612.79,0.195066,156.65
2025-06-04T09:45:41.625101,105635,2612.79,0.195066,156.65
2025-06-04T09:45:41.625101,105635,2612.79,0.195066,156.65
2025-06-04T09:45:41.625101,105635,2612.79,0.195066,156.65
2025-06-04T09:45:53.718485,105635,2612.79,0.195066,156.65
2025-06-04T09:45:53.718485,105635,2612.79,0.195066,156.65
2025-06-04T09:46:15.546988,105637,2613.02,0.195091,156.67
2025-06-04T09:46:15.546988,105637,2613.02,0.195091,156.67
2025-06-04T09:46:30.555205,105637,2613.02,0.195091,156.67
2025-06-04T09:46:30.555205,105637,2613.02,0.195091,156.67
2025-06-04T09:46:43.095064,105637,2613.02,0.195091,156.67
2025-06-04T09:46:43.095064,105637,2613.02,0.195091,156.67
2025-06-04T09:46:55.488837,105637,2613.02,0.195091,156.67
2025-06-04T09:46:55.488837,105637,2613.02,0.195091,156.67
2025-06-04T09:47:07.291022,105637,2613.02,0.195091,156.67
2025-06-04T09:47:07.291022,105637,2613.02,0.195091,156.67
2025-06-04T09:47:07.291022,105637,2613.02,0.195091,156.67
2025-06-04T09:47:22.512052,105640,2612.9,0.195102,156.7
2025-06-04T09:47:22.512052,105640,2612.9,0.195102,156.7
2025-06-04T09:47:44.616570,105640,2612.9,0.195102,156.7
2025-06-04T09:47:44.616570,105640,2612.9,0.195102,156.7
2025-06-04T09:47:44.616570,105640,2612.9,0.195102,156.7
2025-06-04T09:48:41.190601,105629,2612.97,0.195061,156.71
2025-06-04T09:48:41.190601,105629,2612.97,0.195061,156.71
2025-06-04T09:48:41.190601,105629,2612.97,0.195061,156.71
2025-06-04T09:48:53.100105,105629,2612.97,0.195061,156.71
2025-06-04T09:48:53.100105,105629,2612.97,0.195061,156.71
2025-06-04T09:48:53.100105,105629,2612.97,0.195061,156.71
2025-06-04T09:49:04.982869,105629,2612.97,0.195061,156.71
2025-06-04T09:49:04.982869,105629,2612.97,0.195061,156.71
2025-06-04T09:49:04.982869,105629,2612.97,0.195061,156.71
2025-06-04T09:49:17.946990,105629,2612.97,0.195061,156.71
2025-06-04T09:49:17.946990,105629,2612.97,0.195061,156.71
2025-06-04T09:49:17.946990,105629,2612.97,0.195061,156.71
2025-06-04T09:49:30.535290,105629,2612.97,0.195061,156.71
2025-06-04T09:49:30.535290,105629,2612.97,0.195061,156.71
2025-06-04T09:49:30.535290,105629,2612.97,0.195061,156.71
2025-06-04T09:49:41.724746,105629,2612.97,0.195061,156.71
2025-06-04T09:49:41.724746,105629,2612.97,0.195061,156.71
2025-06-04T09:49:41.724746,105629,2612.97,0.195061,156.71
2025-06-04T09:49:53.919005,105613,2612.85,0.195048,156.69
2025-06-04T09:49:53.919005,105613,2612.85,0.195048,156.69
2025-06-04T09:49:53.919005,105613,2612.85,0.195048,156.69
2025-06-04T09:50:08.509122,105613,2612.85,0.195048,156.69
2025-06-04T09:50:08.509122,105613,2612.85,0.195048,156.69
2025-06-04T09:50:08.509122,105613,2612.85,0.195048,156.69
2025-06-04T09:50:22.757163,105613,2612.85,0.195048,156.69
2025-06-04T09:50:22.757163,105613,2612.85,0.195048,156.69
2025-06-04T09:50:22.757163,105613,2612.85,0.195048,156.69
2025-06-04T09:50:34.485676,105613,2612.85,0.195048,156.69
2025-06-04T09:50:34.485676,105613,2612.85,0.195048,156.69
2025-06-04T09:50:34.485676,105613,2612.85,0.195048,156.69
2025-06-04T09:50:50.039076,105613,2612.85,0.195048,156.69
2025-06-04T09:50:50.039076,105613,2612.85,0.195048,156.69
2025-06-04T09:50:50.039076,105613,2612.85,0.195048,156.69
2025-06-04T09:51:06.423070,105613,2612.99,0.195068,156.72
2025-06-04T09:51:06.423070,105613,2612.99,0.195068,156.72
2025-06-04T09:51:06.423070,105613,2612.99,0.195068,156.72
2025-06-04T09:51:30.257020,105613,2612.99,0.195068,156.72
2025-06-04T09:51:30.257020,105613,2612.99,0.195068,156.72
2025-06-04T09:51:30.257020,105613,2612.99,0.195068,156.72
2025-06-04T09:51:45.536135,105613,2612.99,0.195068,156.72
2025-06-04T09:51:45.536135,105613,2612.99,0.195068,156.72
2025-06-04T09:51:45.536135,105613,2612.99,0.195068,156.72
2025-06-04T09:51:56.627134,105613,2612.99,0.195068,156.72
2025-06-04T09:51:56.627134,105613,2612.99,0.195068,156.72
