timestamp,bitcoin_usd,ethereum_usd
2025-06-02 10:21:19,105285,2522.37
2025-06-02 10:21:30,105285,2522.37
2025-06-02 10:21:41,105285,2522.37
2025-06-02 10:21:52,105280,2521.81
2025-06-02 10:22:02,105280,2521.81
2025-06-02 10:22:12,105280,2521.81
2025-06-02 10:23:24,105276,2521.23
2025-06-02 10:23:34,105276,2521.23
2025-06-02 10:23:44,105276,2521.23
2025-06-02 10:23:54,105276,2521.23
2025-06-02 10:24:05,105276,2521.23
2025-06-02 10:24:15,105276,2521.23
2025-06-02 10:24:25,105268,2521.04
2025-06-02 10:24:36,105268,2521.04
2025-06-02 10:24:46,105268,2521.04
2025-06-02 10:25:57,105262,2520.71
2025-06-02 10:26:08,105262,2520.71
2025-06-02 10:26:18,105262,2520.71
2025-06-02 10:26:28,105262,2520.71
2025-06-02 10:26:38,105262,2520.71
2025-06-02 10:26:49,105262,2520.71
2025-06-02 10:28:01,105237,2519.03
2025-06-02 10:28:11,105237,2519.03
2025-06-02 10:28:22,105237,2519.03
2025-06-02 10:28:32,105237,2519.03
2025-06-02 10:28:42,105237,2519.03
2025-06-02 10:29:55,105247,2518.85
2025-06-02 10:30:05,105247,2518.85
2025-06-02 10:30:15,105247,2518.85
2025-06-02 10:30:33,105247,2518.85
2025-06-02 10:30:43,105247,2518.85
2025-06-02 10:30:54,105247,2518.85
2025-06-02 10:31:04,105256,2519.03
2025-06-02 10:31:14,105256,2519.03
2025-06-02 10:31:24,105256,2519.03
2025-06-02 10:32:38,105253,2518.68
2025-06-02 10:32:50,105253,2518.68
2025-06-02 10:33:01,105253,2518.68
2025-06-02 10:33:11,105253,2518.68
2025-06-02 10:33:22,105253,2518.68
2025-06-02 10:33:33,105253,2518.68
2025-06-02 10:33:44,105248,2518.53
2025-06-02 10:35:00,105242,2518.48
2025-06-02 10:35:11,105242,2518.48
2025-06-02 10:35:21,105242,2518.48
2025-06-02 10:35:31,105242,2518.48
2025-06-02 10:35:42,105242,2518.48
2025-06-02 10:35:52,105242,2518.48
2025-06-02 10:36:10,105239,2518.08
2025-06-02 10:36:20,105239,2518.08
2025-06-02 10:36:31,105239,2518.08
2025-06-02 10:36:41,105239,2518.08
2025-06-02 10:36:53,105239,2518.08
2025-06-02 10:37:04,105239,2518.08
2025-06-02 10:37:15,105240,2518.09
2025-06-02 10:37:26,105240,2518.09
2025-06-02 10:37:36,105240,2518.09
2025-06-02 10:38:54,105238,2517.96
2025-06-02 10:39:09,105238,2517.96
2025-06-02 10:39:19,105238,2517.96
2025-06-02 10:39:29,105238,2517.96
2025-06-02 10:39:40,105238,2517.96
2025-06-02 10:39:50,105238,2517.96
2025-06-02 10:40:01,105239,2517.75
2025-06-02 10:41:18,105239,2517.66
2025-06-02 10:41:31,105239,2517.66
2025-06-02 10:41:42,105239,2517.66
2025-06-02 10:41:52,105239,2517.66
2025-06-02 10:42:02,105239,2517.66
2025-06-02 10:42:14,105239,2517.66
2025-06-02 10:42:25,105240,2517.9
2025-06-02 10:42:36,105240,2517.9
2025-06-02 10:42:46,105240,2517.9
2025-06-02 10:44:05,105300,2518.06
2025-06-02 10:44:15,105300,2518.06
2025-06-02 10:44:25,105300,2518.06
2025-06-02 10:44:39,105300,2518.06
2025-06-02 10:44:49,105300,2518.06
2025-06-02 10:45:01,105300,2518.06
2025-06-02 10:51:12,105301,2518.36
2025-06-02 10:51:32,105290,2519.33
2025-06-02 10:51:42,105290,2519.33
2025-06-02 10:51:53,105290,2519.33
2025-06-02 10:52:03,105290,2519.33
2025-06-02 10:52:13,105290,2519.33
2025-06-02 10:52:23,105290,2519.33
2025-06-02 10:52:34,105277,2519.14
2025-06-02 10:52:44,105277,2519.14
2025-06-02 10:53:57,105236,2517.78
2025-06-02 10:54:07,105236,2517.78
2025-06-02 10:54:18,105236,2517.78
2025-06-02 10:54:28,105236,2517.78
2025-06-02 10:54:38,105236,2517.78
2025-06-02 10:54:49,105236,2517.78
2025-06-02 10:56:02,105227,2516.49
2025-06-02 10:56:14,105227,2516.49
2025-06-02 10:56:26,105227,2516.49
2025-06-02 10:56:37,105227,2516.49
2025-06-02 10:56:47,105227,2516.49
2025-06-02 10:58:01,105224,2516.5
2025-06-02 10:58:11,105224,2516.5
2025-06-02 10:58:23,105224,2516.5
2025-06-02 10:58:33,105224,2516.5
2025-06-02 10:58:44,105224,2516.5
2025-06-02 10:59:54,105201,2515.75
2025-06-02 11:00:06,105201,2515.75
2025-06-02 11:00:17,105201,2515.75
2025-06-02 11:00:28,105201,2515.75
2025-06-02 11:00:38,105201,2515.75
2025-06-02 11:00:49,105201,2515.75
2025-06-02 11:01:01,105194,2515.57
2025-06-02 11:01:18,105194,2515.57
